zipcode,graffiti_complaints,heating_complaints,illegal_parking_complaints,noise_complaints,restaurant_average_score,streetlight_complaints,amount_of_trees
11220,3060,6063,5122,6819,20,4613,1265
10021,156,1413,1314,1771,18,53,2168
10461,1264,6685,3205,5686,15,4878,5452
10458,1585,26508,1177,19286,18,852,3380
11378,479,1107,5678,2315,17,3410,849
10454,687,4061,968,6145,18,536,1761
11360,23,150,956,650,16,1366,561
10016,273,2911,1621,3941,18,65,1880
10466,606,9520,2426,11915,17,2238,5057
11364,167,915,1321,750,17,3789,1109
11226,876,27255,2738,26137,19,1852,2201
10014,352,3453,1401,3899,17,1285,2576
10459,1415,9680,712,8230,16,1572,3063
10010,142,1624,914,2998,18,56,889
11693,11,656,533,1281,16,1147,907
11366,38,191,1430,1193,17,1970,390
10460,1212,13070,1207,13250,15,1523,3337
11217,689,2327,3381,4824,16,3044,3093
10470,309,2937,983,2076,17,497,1391
11362,62,206,879,279,20,2140,521
11213,710,17417,1821,14244,20,3532,1798
11225,668,17883,1549,13211,17,2482,857
11426,81,125,820,631,15,1891,1292
10468,1076,23683,1380,21054,18,1218,2982
11205,990,2674,3257,8536,17,2368,2403
11236,392,4988,3139,11053,18,1184,4440
10453,1061,23577,1351,17871,18,1061,2943
11433,357,2457,1255,4409,15,2268,394
11209,1012,7349,7033,5951,17,2936,922
10456,965,18389,1377,18511,17,1255,4002
11417,202,1119,1724,3303,17,2371,194
10464,96,147,1243,365,19,1580,1063
11428,199,705,717,2279,20,1946,1845
10003,1040,4284,1682,6497,18,250,2040
10034,697,11022,1933,12180,17,857,1571
11413,156,1765,1166,2575,17,4015,1987
10011,531,3683,1770,4553,17,186,2169
10309,89,136,2347,843,17,3172,11393
11423,187,1967,967,3787,18,2432,125
10452,888,21686,1497,17863,18,1462,3321
10029,700,7809,2437,13802,20,69,2423
11434,99,3038,1852,4670,16,4950,987
10030,252,7011,1146,9697,15,34,1341
10455,933,7445,1145,8468,16,1276,2157
11416,272,1201,1561,4015,19,1708,189
11224,205,2496,846,4644,14,1114,1817
11379,169,655,4211,1784,15,2784,1338
10312,139,149,4489,1621,18,5794,21162
11420,176,1523,2314,7775,17,3419,465
11210,497,8055,2619,7506,18,1416,2371
10033,770,12761,1773,11806,17,163,1960
10301,138,2214,1894,4875,17,4059,5902
11429,136,986,792,2009,15,2016,416
10039,155,4168,551,9109,17,14,801
11203,418,13628,2621,10569,18,1979,723
10032,1008,15776,2166,16627,19,135,2217
10472,1435,12181,1125,12158,17,2909,3403
11040,24,11,91,24,16,326,85
10026,408,6189,1149,8973,18,228,1835
10306,202,898,2812,2800,16,5292,12407
11694,35,1790,1470,1547,17,2783,3349
10475,126,325,1035,761,17,2592,1865
11212,1003,15359,1401,15209,17,3296,1379
10017,22,370,2313,591,18,52,844
11412,191,2072,1001,3148,16,3031,257
11421,396,1990,3212,5909,18,2390,411
11414,43,502,1982,1362,17,3196,2544
10028,250,2786,1288,3166,17,67,1881
10471,101,1237,981,1430,17,621,1830
11419,190,2309,2255,8789,18,1983,701
10036,170,3212,3296,2457,18,85,873
11691,201,5954,831,6205,19,3821,5690
10007,74,65,716,408,16,946,591
10308,83,74,1961,935,18,2410,6760
10035,491,4324,1236,6831,18,63,2010
10310,101,793,890,3400,20,1762,3471
11415,100,1955,1103,2999,18,1017,1294
11004,100,112,478,384,17,1730,646
11436,16,976,992,3007,16,1590,602
10075,148,1479,814,1449,18,14,816
10005,9,120,410,375,18,732,144
10038,191,437,1329,2705,20,1166,391
10022,92,1592,1592,1437,17,88,1675
10004,7,104,522,158,16,574,101
11697,1,19,55,13,21,76,30
11411,63,354,477,1009,19,1862,264
10006,8,44,132,181,18,295,102
11001,14,54,298,114,19,294,81
10307,24,76,810,486,15,833,5086
10044,1,109,8,52,11,4,55
11239,1,345,263,396,16,388,579
